question_id,question_text,answer,count
1a,Buy for myself,Strongly Agree,12
1a,Buy for myself,Agree,27
1a,Buy for myself,Don't Know,10
1a,Buy for myself,Disagree,1
1a,Buy for myself,Strongly Disagree,0
1b,Buy for family,Strongly Agree,27
1b,Buy for family,Agree,23
1c,Buy for guests,Strongly Agree,5
1c,Buy for guests,Agree,27
1c,Buy for guests,Don't Know,13
1c,Buy for guests,Disagree,5
1d,Buy for parties,Strongly Agree,1
1d,Buy for parties,Agree,11
1d,Buy for parties,Don't Know,23
1d,Buy for parties,Disagree,15
1e,Buy for ceremonies,Strongly Agree,1
1e,Buy for ceremonies,Agree,8
1e,Buy for ceremonies,Don't Know,24
1e,Buy for ceremonies,Disagree,15
1e,Buy for ceremonies,Strongly Disagree,2
1f,Buy for souvenirs,Strongly Agree,11
1f,Buy for souvenirs,Agree,21
1f,Buy for souvenirs,Don't Know,15
1f,Buy for souvenirs,Disagree,3
1g,Buy as snacks,Strongly Agree,7
1g,Buy as snacks,Agree,24
1g,Buy as snacks,Don't Know,11
1g,Buy as snacks,Disagree,7
1g,Buy as snacks,Strongly Disagree,1
1h1,Substitute for breakfast,Strongly Agree,17
1h1,Substitute for breakfast,Agree,19
1h1,Substitute for breakfast,Don't Know,14
1h1,Substitute for breakfast,Disagree,0
1h2,Substitute for lunch,Strongly Agree,1
1h2,Substitute for lunch,Agree,16
1h2,Substitute for lunch,Don't Know,23
1h2,Substitute for lunch,Disagree,10
1h2,Substitute for lunch,Strongly Disagree,0
1h3,Substitute for afternoon snack,Strongly Agree,2
1h3,Substitute for afternoon snack,Agree,14
1h3,Substitute for afternoon snack,Don't Know,22
1h3,Substitute for afternoon snack,Disagree,12
1h4,Substitute for dinner,Strongly Agree,2
1h4,Substitute for dinner,Agree,15
1h4,Substitute for dinner,Don't Know,17
1h4,Substitute for dinner,Disagree,6
1h4,Substitute for dinner,Strongly Disagree,9
2a,Thick plastic packaging,Strongly Agree,14
2a,Thick plastic packaging,Agree,21
2a,Thick plastic packaging,Don't Know,8
2a,Thick plastic packaging,Disagree,6
2a,Thick plastic packaging,Strongly Disagree,1
2b,Single pattern packaging,Strongly Agree,7
2b,Single pattern packaging,Agree,19
2b,Single pattern packaging,Don't Know,14
2b,Single pattern packaging,Disagree,9
2b,Single pattern packaging,Strongly Disagree,1
2c,Attractive packaging,Strongly Agree,21
2c,Attractive packaging,Agree,19
2c,Attractive packaging,Don't Know,8
2c,Attractive packaging,Disagree,2
2c,Attractive packaging,Strongly Disagree,0
3,Known brand,Strongly Agree,22
3,Known brand,Agree,19
3,Known brand,Don't Know,9
3,Known brand,Disagree,0
3,Known brand,Strongly Disagree,0
4,Fresh,Strongly Agree,18
4,Fresh,Agree,24
4,Fresh,Don't Know,8
4,Fresh,Disagree,0
4,Fresh,Strongly Disagree,0
5,Well baked,Strongly Agree,10
5,Well baked,Agree,23
5,Well baked,Don't Know,16
5,Well baked,Disagree,1
5,Well baked,Strongly Disagree,0
6,Soft texture,Strongly Agree,18
6,Soft texture,Agree,29
6,Soft texture,Don't Know,3
6,Soft texture,Disagree,0
6,Soft texture,Strongly Disagree,0
7,Dense texture,Strongly Agree,11
7,Dense texture,Agree,10
7,Dense texture,Don't Know,12
7,Dense texture,Disagree,12
7,Dense texture,Strongly Disagree,5
8,Product variety,Strongly Agree,17
8,Product variety,Agree,15
8,Product variety,Don't Know,17
8,Product variety,Disagree,1
8,Product variety,Strongly Disagree,0
9,Expensive price,Strongly Agree,6
9,Expensive price,Agree,13
9,Expensive price,Don't Know,13
9,Expensive price,Disagree,14
9,Expensive price,Strongly Disagree,4
10a,From family,Strongly Agree,12
10a,From family,Agree,20
10a,From family,Don't Know,17
10a,From family,Disagree,1
10a,From family,Strongly Disagree,0
10b,From friends,Strongly Agree,4
10b,From friends,Agree,22
10b,From friends,Don't Know,22
10b,From friends,Disagree,2
10b,From friends,Strongly Disagree,0
10c,From radio,Strongly Agree,0
10c,From radio,Agree,4
10c,From radio,Don't Know,37
10c,From radio,Disagree,9
10c,From radio,Strongly Disagree,0
10d,From magazines,Strongly Agree,0
10d,From magazines,Agree,4
10d,From magazines,Don't Know,37
10d,From magazines,Disagree,4
10d,From magazines,Strongly Disagree,5
11a,Buy from mobile bread vendor,Strongly Agree,35
11a,Buy from mobile bread vendor,Agree,14
11a,Buy from mobile bread vendor,Don't Know,1
11a,Buy from mobile bread vendor,Disagree,0
11a,Buy from mobile bread vendor,Strongly Disagree,0
11b,Buy from store,Strongly Agree,3
11b,Buy from store,Agree,22
11b,Buy from store,Don't Know,22
11b,Buy from store,Disagree,3
11b,Buy from store,Strongly Disagree,0
11c,Buy from supermarket,Strongly Agree,1
11c,Buy from supermarket,Agree,10
11c,Buy from supermarket,Don't Know,29
11c,Buy from supermarket,Disagree,8
11c,Buy from supermarket,Strongly Disagree,2
12,Easy to get,Strongly Agree,22
12,Easy to get,Agree,22
12,Easy to get,Don't Know,6
12,Easy to get,Disagree,0
12,Easy to get,Strongly Disagree,0
